Order_ID,Order_Date,Customer_ID,Segment,Region,Ship_Mode,order_revenue
CA-2015-104829,2015-11-18,JG-15805,Corporate,West,Second Class,2198
CA-2015-104976,2015-12-09,CK-12760,Corporate,West,Standard Class,3468
CA-2015-105165,2015-09-07,SZ-20035,Home Office,Central,First Class,466415
CA-2015-105172,2015-04-04,PK-18910,Home Office,West,Standard Class,189
CA-2015-105249,2015-11-28,DH-13675,Home Office,West,Same Day,412482
CA-2015-105270,2015-11-11,AP-10915,Consumer,West,Standard Class,115696
CA-2015-105340,2015-11-22,EH-14185,Consumer,Central,First Class,6928
CA-2015-105417,2015-01-07,VS-21820,Consumer,Central,Standard Class,77771
CA-2015-105648,2015-03-03,EJ-14155,Consumer,West,Standard Class,626352
CA-2015-105872,2015-05-30,JG-15160,Consumer,East,Standard Class,70368
CA-2015-105893,2015-11-11,PK-19075,Consumer,Central,Standard Class,66588
CA-2015-105984,2015-11-24,MY-18295,Corporate,East,Same Day,716055
CA-2015-106054,2015-01-06,JO-15145,Corporate,South,First Class,1278
CA-2015-106229,2015-06-07,NR-18550,Consumer,Central,Second Class,268935
CA-2015-106264,2015-12-26,CK-12595,Consumer,West,Standard Class,1539
CA-2015-106376,2015-12-05,BS-11590,Corporate,West,Standard Class,1280992
CA-2015-106439,2015-10-31,GG-14650,Corporate,West,Standard Class,257021
CA-2015-106572,2015-09-05,NP-18700,Consumer,East,Standard Class,26432
CA-2015-106719,2015-08-24,RB-19645,Corporate,West,Same Day,8288
CA-2015-106726,2015-12-06,RS-19765,Corporate,West,First Class,126133
CA-2015-106803,2015-12-29,DC-13285,Consumer,Central,Standard Class,3654
CA-2015-106810,2015-05-14,AJ-10795,Corporate,South,Standard Class,31088
CA-2015-106971,2015-09-02,BM-11785,Consumer,Central,Standard Class,475944
CA-2015-107139,2015-07-05,DP-13390,Home Office,West,Standard Class,18096
CA-2015-107153,2015-09-28,GZ-14545,Corporate,East,Standard Class,4626
CA-2015-107181,2015-02-04,DB-13270,Home Office,West,Standard Class,86320
CA-2015-107398,2015-08-25,BS-11590,Corporate,East,Standard Class,30246
CA-2015-107454,2015-11-02,RD-19720,Consumer,East,Standard Class,12420
CA-2015-107524,2015-03-02,KN-16705,Home Office,East,Standard Class,1500
CA-2015-107573,2015-12-12,PB-19150,Consumer,South,Standard Class,23472
CA-2015-107594,2015-07-02,EH-13945,Consumer,East,Standard Class,7956
CA-2015-107706,2015-02-14,ST-20530,Consumer,Central,Second Class,16176
CA-2015-107755,2015-02-07,CK-12760,Corporate,East,Standard Class,11536
CA-2015-107769,2015-10-28,BT-11395,Corporate,Central,Standard Class,25798
CA-2015-107811,2015-04-29,LA-16780,Corporate,South,Standard Class,571576
CA-2015-107818,2015-09-08,MC-17275,Consumer,West,Standard Class,177152
CA-2015-107916,2015-08-24,JP-15460,Corporate,East,First Class,14000
CA-2015-108147,2015-06-08,RD-19480,Consumer,East,Standard Class,174536
CA-2015-108182,2015-02-06,DL-13315,Consumer,Central,Second Class,8952
CA-2015-108189,2015-10-02,ES-14080,Corporate,West,First Class,262660
CA-2015-108273,2015-12-16,EJ-13720,Consumer,Central,Standard Class,92856
CA-2015-108609,2015-10-31,AJ-10780,Corporate,East,Second Class,1421664
CA-2015-108707,2015-10-24,DB-12910,Home Office,South,Standard Class,10368
CA-2015-108861,2015-05-28,MM-17260,Consumer,West,Standard Class,13696
CA-2015-108903,2015-10-03,DO-13435,Consumer,East,Same Day,199920
CA-2015-109043,2015-08-15,CS-12355,Consumer,South,First Class,24360
CA-2015-109127,2015-12-21,JC-15775,Consumer,East,Standard Class,1728
CA-2015-109134,2015-11-05,DE-13255,Home Office,West,Standard Class,2004
CA-2015-109218,2015-06-30,AR-10825,Corporate,West,Second Class,324
CA-2015-109232,2015-01-13,ND-18370,Consumer,South,Second Class,54594
CA-2015-109302,2015-08-12,CS-12175,Corporate,East,Standard Class,19621
CA-2015-109491,2015-02-20,LC-16930,Corporate,Central,Standard Class,8263
CA-2015-109680,2015-10-06,VP-21760,Corporate,Central,First Class,38634
CA-2015-109855,2015-09-01,LH-16900,Consumer,East,Standard Class,24101
CA-2015-109890,2015-07-21,PG-18820,Consumer,Central,Standard Class,3598
CA-2015-109897,2015-08-12,BW-11200,Consumer,West,Standard Class,814880
CA-2015-109904,2015-07-14,BF-10975,Corporate,East,Second Class,1794
CA-2015-109918,2015-09-07,LR-17035,Corporate,West,Second Class,13184
CA-2015-109932,2015-12-09,VP-21760,Corporate,Central,First Class,247784
CA-2015-110030,2015-12-06,LF-17185,Consumer,Central,Second Class,23976
CA-2015-110065,2015-08-05,SP-20650,Corporate,East,Standard Class,15195
CA-2015-110072,2015-10-22,MG-17680,Home Office,East,Standard Class,93888
CA-2015-110100,2015-04-25,LC-16885,Consumer,South,Standard Class,302376
CA-2015-110184,2015-07-12,BF-11170,Home Office,West,Standard Class,280911
CA-2015-110219,2015-05-05,EB-13870,Consumer,Central,First Class,127869
CA-2015-110352,2015-11-23,ED-13885,Home Office,Central,Standard Class,2368
CA-2015-110408,2015-10-18,AS-10225,Corporate,South,Second Class,221680
CA-2015-110527,2015-08-09,ED-13885,Home Office,West,Standard Class,2088
CA-2015-110555,2015-04-11,MM-18055,Consumer,West,Standard Class,136036
CA-2015-110611,2015-10-06,JD-16015,Consumer,East,Standard Class,8392
CA-2015-110639,2015-08-23,RH-19495,Consumer,East,Same Day,7184
CA-2015-110786,2015-12-29,AJ-10795,Corporate,West,Standard Class,1011174
CA-2015-110849,2015-04-18,JL-15835,Consumer,West,Standard Class,291517
CA-2015-111003,2015-06-01,CR-12625,Home Office,East,Standard Class,7440
CA-2015-111059,2015-02-03,TB-21400,Consumer,West,Second Class,21656
CA-2015-111150,2015-12-31,RW-19630,Corporate,Central,Standard Class,7721
CA-2015-111192,2015-07-30,TS-21430,Corporate,West,Standard Class,136784
CA-2015-111451,2015-12-26,KL-16555,Corporate,West,First Class,777458
CA-2015-111500,2015-08-17,DJ-13510,Corporate,South,Standard Class,38201
CA-2015-111773,2015-06-29,JK-15625,Consumer,East,Standard Class,1392
CA-2015-111857,2015-04-23,NM-18445,Home Office,West,Second Class,4891
CA-2015-111871,2015-03-18,EK-13795,Home Office,West,Second Class,119833
CA-2015-111899,2015-05-04,NC-18340,Consumer,Central,First Class,9256
CA-2015-111934,2015-05-05,GD-14590,Corporate,South,First Class,4732
CA-2015-111962,2015-09-29,EB-14170,Consumer,West,Standard Class,90823
CA-2015-112158,2015-12-02,DP-13165,Consumer,East,First Class,105060
CA-2015-112326,2015-01-04,PO-19195,Home Office,Central,Standard Class,284874
CA-2015-112403,2015-03-31,JO-15280,Consumer,East,Same Day,852
CA-2015-112718,2015-12-16,KN-16450,Corporate,South,Standard Class,1167
CA-2015-112837,2015-09-11,LW-17125,Consumer,West,Standard Class,12795
CA-2015-112851,2015-09-17,NR-18550,Consumer,West,Standard Class,18294
CA-2015-113047,2015-10-24,AP-10915,Consumer,South,Same Day,1185
CA-2015-113166,2015-12-24,LF-17185,Consumer,South,First Class,9568
CA-2015-113271,2015-07-09,DS-13030,Home Office,West,Standard Class,135017
CA-2015-113320,2015-12-12,LH-17155,Consumer,West,Second Class,3072
CA-2015-113362,2015-09-14,AJ-10960,Consumer,East,Standard Class,46022
CA-2015-113383,2015-09-10,SF-20065,Consumer,East,First Class,10741
CA-2015-113579,2015-12-13,KD-16345,Consumer,West,Second Class,9024
CA-2015-113768,2015-05-13,AH-10030,Corporate,West,Standard Class,279464
CA-2015-113859,2015-09-13,BC-11125,Home Office,Central,Standard Class,340116
CA-2015-113880,2015-03-01,VF-21715,Home Office,Central,Standard Class,651588
CA-2015-113887,2015-04-05,TH-21550,Home Office,East,First Class,5548
CA-2015-113929,2015-06-16,CK-12205,Consumer,East,Standard Class,40001
CA-2015-113964,2015-09-23,JP-16135,Home Office,East,Standard Class,18464
CA-2015-114125,2015-07-09,GH-14410,Home Office,West,Standard Class,44584
CA-2015-114181,2015-05-10,AF-10885,Consumer,East,Second Class,352197
CA-2015-114251,2015-11-05,MD-17350,Consumer,East,Standard Class,1430430
CA-2015-114314,2015-10-11,DB-13555,Corporate,South,Standard Class,1623
CA-2015-114321,2015-08-20,NC-18535,Corporate,South,Standard Class,141735
CA-2015-114335,2015-09-28,XP-21865,Consumer,South,Standard Class,337088
CA-2015-114433,2015-05-13,NP-18325,Consumer,West,Standard Class,14997
CA-2015-114510,2015-03-14,JF-15295,Consumer,West,Standard Class,106198
CA-2015-114517,2015-12-23,TH-21235,Corporate,East,Standard Class,58968
CA-2015-114643,2015-06-13,FM-14215,Corporate,West,Standard Class,1452
CA-2015-114790,2015-03-11,FM-14215,Corporate,South,Second Class,78263
CA-2015-115056,2015-05-02,AR-10510,Consumer,East,Same Day,26136
CA-2015-115084,2015-10-18,LS-17200,Corporate,South,Standard Class,60534
CA-2015-115133,2015-09-26,DA-13450,Home Office,East,Standard Class,52752
CA-2015-115161,2015-01-31,LC-17050,Consumer,West,First Class,290666
CA-2015-115259,2015-08-25,RC-19960,Consumer,East,Second Class,195008
CA-2015-115336,2015-11-18,AB-10600,Corporate,Central,Standard Class,1448
CA-2015-115357,2015-08-06,RF-19735,Consumer,South,Second Class,6291
CA-2015-115791,2015-01-16,DL-13315,Consumer,East,Second Class,177006
CA-2015-115812,2015-06-09,BH-11710,Consumer,West,Standard Class,3550027
CA-2015-115889,2015-11-02,SH-20395,Consumer,West,Standard Class,82676
CA-2015-115973,2015-11-24,NG-18430,Consumer,East,First Class,2624
CA-2015-115980,2015-07-15,VW-21775,Corporate,Central,Standard Class,951
CA-2015-116190,2015-07-26,SG-20470,Consumer,South,Standard Class,25648
CA-2015-116239,2015-03-04,CL-12565,Consumer,South,Same Day,3549
CA-2015-116246,2015-09-12,LW-17215,Consumer,East,Second Class,3785292
CA-2015-116407,2015-11-15,JF-15190,Consumer,South,Standard Class,362176
CA-2015-116568,2015-12-14,BM-11785,Consumer,South,Standard Class,186304
CA-2015-116666,2015-05-08,KT-16480,Consumer,East,First Class,179997
CA-2015-116673,2015-12-15,JO-15280,Consumer,West,Second Class,616
CA-2015-116757,2015-06-30,MS-17980,Corporate,Central,Standard Class,23904
CA-2015-116785,2015-04-26,MH-17290,Home Office,West,Standard Class,340
CA-2015-116834,2015-10-11,Dp-13240,Home Office,West,Standard Class,6692
CA-2015-116904,2015-09-23,SC-20095,Consumer,Central,Standard Class,950662
CA-2015-116932,2015-07-21,ME-18010,Corporate,West,Standard Class,1075408
CA-2015-117016,2015-03-04,SC-20095,Consumer,South,Standard Class,15552
CA-2015-117317,2015-10-19,JF-15490,Consumer,West,Same Day,1344
CA-2015-117345,2015-08-01,BF-10975,Corporate,South,Standard Class,146268
CA-2015-117429,2015-10-07,MR-17545,Home Office,East,Standard Class,12992
CA-2015-117464,2015-07-22,NP-18325,Consumer,West,Second Class,245641
CA-2015-117478,2015-09-21,LH-16750,Consumer,East,First Class,657
CA-2015-117639,2015-05-21,MW-18235,Corporate,South,Standard Class,333390
CA-2015-117709,2015-05-04,PM-18940,Consumer,Central,Standard Class,468
CA-2015-117765,2015-09-07,RB-19465,Home Office,Central,Standard Class,25687
CA-2015-118192,2015-01-13,MM-17920,Consumer,East,Standard Class,40846
CA-2015-118276,2015-12-29,MG-17890,Home Office,Central,Standard Class,8736
CA-2015-118304,2015-04-29,KH-16360,Consumer,East,Standard Class,1998
CA-2015-118339,2015-03-17,BN-11515,Consumer,Central,Standard Class,20186
CA-2015-118962,2015-08-05,CS-12130,Consumer,West,Standard Class,353334
CA-2015-118976,2015-04-28,MY-18295,Corporate,East,Standard Class,52696
CA-2015-119032,2015-11-27,MS-17770,Consumer,East,Standard Class,376
CA-2015-119144,2015-11-16,JD-16150,Corporate,West,First Class,3174204
CA-2015-119151,2015-11-25,MP-18175,Home Office,East,Second Class,387744
CA-2015-119172,2015-05-11,HD-14785,Home Office,Central,Standard Class,27930
CA-2015-119375,2015-11-17,YC-21895,Corporate,East,Standard Class,311649
CA-2015-119466,2015-12-15,SP-20860,Corporate,Central,Standard Class,8544
CA-2015-119529,2015-11-03,DM-13345,Corporate,East,Second Class,576
CA-2015-119977,2015-10-08,DN-13690,Consumer,East,Second Class,12392
CA-2015-120096,2015-07-04,KE-16420,Corporate,West,First Class,209968
CA-2015-120243,2015-12-27,AT-10435,Home Office,West,Second Class,1156
CA-2015-120278,2015-11-07,MS-17365,Consumer,Central,Standard Class,31748
CA-2015-120411,2015-09-20,SB-20185,Consumer,Central,First Class,50455
CA-2015-120432,2015-08-24,DW-13585,Corporate,South,Second Class,255
CA-2015-120474,2015-12-01,RP-19390,Consumer,Central,First Class,285448
CA-2015-120544,2015-11-23,SS-20140,Corporate,Central,Standard Class,46088
CA-2015-120670,2015-11-02,JK-16120,Home Office,South,Standard Class,79992
CA-2015-120768,2015-12-19,IM-15070,Consumer,South,Second Class,197989
CA-2015-120775,2015-10-03,RD-19930,Consumer,Central,Standard Class,57908
CA-2015-120838,2015-03-23,PO-18865,Consumer,West,Second Class,608056
CA-2015-120852,2015-12-20,WB-21850,Consumer,Central,Standard Class,25976
CA-2015-120887,2015-09-27,TS-21205,Corporate,East,Standard Class,8754
CA-2015-121006,2015-11-10,SC-20020,Consumer,Central,Standard Class,119136
CA-2015-121167,2015-11-28,MO-17500,Consumer,East,Second Class,17248
CA-2015-121286,2015-11-04,ON-18715,Corporate,South,Second Class,14200
CA-2015-121573,2015-11-03,SG-20605,Consumer,East,Standard Class,135148
CA-2015-121629,2015-11-28,BT-11680,Consumer,Central,Standard Class,99885
CA-2015-121664,2015-05-06,HP-14815,Home Office,West,Standard Class,140736
CA-2015-121727,2015-08-19,JK-15625,Consumer,East,Standard Class,1072
CA-2015-121762,2015-02-14,ML-17395,Corporate,West,Standard Class,56055
CA-2015-121769,2015-04-08,JS-15880,Consumer,East,Standard Class,17211
CA-2015-122070,2015-04-22,AH-10030,Corporate,East,Second Class,34696
CA-2015-122217,2015-11-24,HP-14815,Home Office,South,Standard Class,11115
CA-2015-122336,2015-04-13,JD-15895,Corporate,East,Second Class,171773
CA-2015-122567,2015-02-16,MN-17935,Consumer,Central,Standard Class,904
CA-2015-122588,2015-11-25,AR-10540,Consumer,East,Second Class,5296
CA-2015-122679,2015-07-22,AB-10255,Home Office,West,Standard Class,1968
CA-2015-122749,2015-12-03,NG-18430,Consumer,Central,Standard Class,47996
CA-2015-122882,2015-09-07,SB-20290,Corporate,East,Standard Class,179488
CA-2015-122931,2015-09-29,SM-20950,Corporate,East,Standard Class,2308776
CA-2015-123064,2015-06-30,RA-19915,Consumer,Central,First Class,5248
CA-2015-123127,2015-09-08,SP-20620,Corporate,East,Standard Class,1678
CA-2015-123225,2015-07-11,MN-17935,Consumer,Central,First Class,586336
CA-2015-123253,2015-08-22,DE-13255,Home Office,East,Second Class,3912
CA-2015-123260,2015-08-26,FM-14290,Home Office,West,Standard Class,1768
CA-2015-123295,2015-07-18,AH-10120,Home Office,West,Same Day,259136
CA-2015-123316,2015-10-13,SP-20545,Corporate,East,Standard Class,7752
CA-2015-123323,2015-11-07,LH-16900,Consumer,West,Standard Class,123144
CA-2015-123344,2015-09-24,JD-16060,Consumer,West,Standard Class,21196
CA-2015-123400,2015-02-02,EB-13930,Consumer,South,Standard Class,36432
CA-2015-123477,2015-01-18,DW-13195,Corporate,West,Second Class,64864
CA-2015-123498,2015-11-07,TC-20980,Corporate,Central,First Class,100398
CA-2015-123855,2015-06-18,MC-18100,Consumer,West,Standard Class,1398
CA-2015-123925,2015-12-17,RF-19840,Consumer,South,Second Class,4005
CA-2015-124023,2015-04-07,PJ-19015,Consumer,South,First Class,896
CA-2015-124079,2015-12-13,RF-19345,Corporate,West,Standard Class,14010
CA-2015-124247,2015-12-16,SH-20635,Corporate,West,Standard Class,140392
CA-2015-124394,2015-10-17,TB-21520,Consumer,Central,Second Class,121054
CA-2015-124429,2015-05-27,MH-17785,Corporate,West,Same Day,92644
CA-2015-124464,2015-07-14,SS-20515,Home Office,East,Standard Class,3948
CA-2015-124478,2015-08-08,MA-17560,Home Office,Central,Standard Class,261754
CA-2015-124513,2015-09-21,SL-20155,Home Office,East,Standard Class,6603
CA-2015-124618,2015-05-02,CS-11860,Consumer,South,Second Class,479984
CA-2015-124646,2015-06-22,DV-13465,Consumer,Central,First Class,66375
CA-2015-124688,2015-08-27,CC-12610,Corporate,South,First Class,181201
CA-2015-124702,2015-11-18,MH-17785,Corporate,West,Standard Class,21056
CA-2015-124709,2015-07-27,GW-14605,Consumer,West,Second Class,238
CA-2015-124723,2015-08-05,GZ-14470,Consumer,Central,Standard Class,48923
CA-2015-124730,2015-11-26,LS-17245,Consumer,East,Same Day,68463
CA-2015-124737,2015-08-23,AP-10915,Consumer,West,Standard Class,288368
CA-2015-124807,2015-07-12,ME-17725,Consumer,Central,Second Class,38240
CA-2015-124856,2015-09-29,LD-17005,Consumer,East,Second Class,159231
CA-2015-125136,2015-09-28,KD-16495,Corporate,South,Standard Class,106944
CA-2015-125150,2015-05-16,PW-19030,Corporate,West,Standard Class,23288
CA-2015-125171,2015-09-03,AG-10390,Consumer,East,Same Day,144
CA-2015-125514,2015-09-21,BM-11650,Corporate,Central,First Class,6871
CA-2015-125542,2015-12-05,NB-18655,Corporate,East,First Class,521224
CA-2015-125556,2015-11-14,ML-17410,Consumer,East,Second Class,83731
CA-2015-125612,2015-08-03,BK-11260,Consumer,East,Standard Class,7155
CA-2015-125682,2015-11-22,RB-19645,Corporate,South,First Class,996
CA-2015-125731,2015-09-10,CL-12565,Consumer,West,Standard Class,170432
CA-2015-125759,2015-02-08,NM-18445,Home Office,West,First Class,1456
CA-2015-125829,2015-11-04,WB-21850,Consumer,West,Standard Class,1711920
CA-2015-125997,2015-09-20,MW-18220,Consumer,East,First Class,1641952
CA-2015-126032,2015-06-23,BS-11665,Consumer,East,Standard Class,86376
CA-2015-126193,2015-09-07,SS-20410,Consumer,Central,Standard Class,35643
CA-2015-126200,2015-08-25,JE-15715,Consumer,Central,Standard Class,14952
CA-2015-126277,2015-09-13,LH-16900,Consumer,East,Second Class,2502
CA-2015-126333,2015-12-23,ME-18010,Corporate,Central,Standard Class,5184
CA-2015-126361,2015-08-04,VD-21670,Consumer,West,Second Class,208692
CA-2015-126403,2015-09-09,RR-19525,Corporate,East,Second Class,228079
CA-2015-126480,2015-09-20,HG-14965,Corporate,West,Standard Class,856
CA-2015-126522,2015-09-01,LT-16765,Consumer,West,Second Class,5394
CA-2015-126683,2015-09-29,PP-18955,Home Office,West,Second Class,235498
CA-2015-126760,2015-07-26,KM-16720,Consumer,West,Standard Class,1616834
CA-2015-126802,2015-12-29,ZC-21910,Consumer,Central,Standard Class,38976
CA-2015-126907,2015-11-01,SM-20950,Corporate,Central,Standard Class,15696
CA-2015-126963,2015-06-15,PS-18760,Consumer,Central,Same Day,36544
CA-2015-127012,2015-08-11,GM-14680,Consumer,West,Standard Class,7628
CA-2015-127131,2015-11-24,HR-14830,Corporate,West,Standard Class,83034
CA-2015-127159,2015-05-12,HL-15040,Consumer,Central,First Class,3479
CA-2015-127166,2015-05-21,KH-16360,Consumer,Central,Second Class,170492
CA-2015-127187,2015-12-04,CP-12085,Corporate,East,Standard Class,12998
CA-2015-127299,2015-09-19,JL-15835,Consumer,South,Standard Class,2692329
CA-2015-127383,2015-12-31,CM-11815,Corporate,Central,Standard Class,49568
CA-2015-127446,2015-11-25,MC-17590,Corporate,Central,Standard Class,1271355
CA-2015-127488,2015-09-22,MS-17365,Consumer,South,Second Class,4608
CA-2015-127523,2015-05-11,BG-11695,Corporate,East,Standard Class,3591
CA-2015-127558,2015-11-15,SS-20410,Consumer,West,First Class,80304
CA-2015-127586,2015-09-26,CS-12400,Home Office,West,Standard Class,31012
CA-2015-127614,2015-02-11,NF-18385,Consumer,South,Standard Class,150813
CA-2015-127691,2015-07-22,EM-14065,Consumer,East,Standard Class,16594
CA-2015-127859,2015-03-17,QJ-19255,Corporate,East,Second Class,126624
CA-2015-127866,2015-07-20,JD-15895,Corporate,West,First Class,60243
CA-2015-127936,2015-09-02,CL-12565,Consumer,East,First Class,2124
CA-2015-127964,2015-03-03,AP-10720,Home Office,East,Standard Class,16107
CA-2015-128055,2015-03-31,AA-10315,Consumer,West,Standard Class,678866
CA-2015-128062,2015-11-19,AD-10180,Home Office,East,Second Class,588
CA-2015-128146,2015-06-21,DB-13060,Consumer,East,Standard Class,132669
CA-2015-128209,2015-11-17,GT-14710,Consumer,East,Standard Class,2553560
CA-2015-128237,2015-03-25,CA-12265,Consumer,West,Standard Class,9236
CA-2015-128524,2015-11-11,MZ-17515,Corporate,West,First Class,2046095
CA-2015-128538,2015-10-11,AS-10240,Consumer,West,Standard Class,764
CA-2015-128622,2015-11-15,SC-20260,Corporate,West,Second Class,1095
CA-2015-128839,2015-09-08,TT-21070,Consumer,South,Standard Class,21042
CA-2015-128846,2015-04-07,RS-19765,Corporate,South,Standard Class,75292
CA-2015-128888,2015-11-15,PB-19105,Consumer,Central,Standard Class,604656
CA-2015-128986,2015-08-03,GH-14410,Home Office,West,Second Class,93024
CA-2015-129091,2015-11-22,RA-19885,Corporate,South,Standard Class,73470
CA-2015-129147,2015-11-02,LC-17050,Consumer,East,Standard Class,609438
CA-2015-129168,2015-08-17,KB-16585,Corporate,Central,Standard Class,15552
CA-2015-129189,2015-07-21,HM-14860,Corporate,Central,Standard Class,80621
CA-2015-129364,2015-12-08,TB-21250,Consumer,West,Standard Class,101984
CA-2015-129574,2015-05-26,Dp-13240,Home Office,West,First Class,484
CA-2015-129819,2015-12-13,KC-16675,Corporate,South,Second Class,1239
CA-2015-129924,2015-07-12,AC-10420,Corporate,West,Standard Class,706064
CA-2015-129938,2015-12-15,EB-13705,Corporate,East,Second Class,445802
CA-2015-130092,2015-01-11,SV-20365,Consumer,East,First Class,994
CA-2015-130155,2015-05-19,TD-20995,Consumer,South,First Class,342
CA-2015-130274,2015-05-03,JS-15940,Home Office,Central,First Class,2156
CA-2015-130421,2015-03-03,SC-20020,Consumer,Central,Standard Class,176772
CA-2015-130428,2015-03-31,TG-21640,Consumer,South,Same Day,1142165
CA-2015-130449,2015-09-06,VP-21760,Corporate,West,First Class,10036
CA-2015-130575,2015-12-14,CS-11845,Corporate,Central,First Class,9264
CA-2015-130624,2015-06-21,TB-21280,Consumer,East,First Class,64359
